Column1,affiliation_id,nama_pt,jml_dokumen_institusi,jml_dokumen_afiliasi_only,jml_author,asal_kota_pt,provinsi_pt,flag,date_in,date_up,user_in,user_up,is_deleted
354,60104629,"
University Muhammadiyah Aceh
",40,40,33,Aceh,Aceh,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
176,60107282,"
Universitas Teuku Umar
",210,210,187,Meulaboh,Aceh,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
70,60106585,"
Universitas Malikussaleh
",724,724,455,Aceh Utara,Aceh,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
14,60069406,"
Universitas Syiah Kuala
",6200,5961,4014,Banda Aceh,Aceh,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
124,60107288,"
Universitas Islam Negeri Ar-Raniry
",365,365,293,Banda Aceh,Aceh,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
335,60105308,"
Universitas Ubudiyah Indonesia
",49,49,24,Banda Aceh,Aceh,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
143,60109761,"
Politeknik Negeri Lhokseumawe
",295,295,238,Lhokseumawe,Aceh,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
20,60069391,"
Universitas Udayana
",3884,3884,2897,Bali,Bali,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
69,60105231,"
Universitas Pendidikan Ganesha
",743,743,525,Bali,Bali,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
444,60070700,"
Gondol Research Station for Coastal Fisheries, Bali
",11,11,4,Bali,Bali,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
126,60121476,"
Universitas Warmadewa
",350,350,270,Denpasar,Bali,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
202,60107349,"
STIKOM Bali
",160,160,111,Denpasar,Bali,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
217,60109937,"
Universitas Mahasaraswati Denpasar
",141,141,126,Denpasar,Bali,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
298,60241999,"
Universitas Pendidikan Nasional
",71,71,66,Denpasar,Bali,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
304,60120853,"
People & Nature Consulting International
",65,65,2,Denpasar,Bali,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
320,60196814,"
Universitas Hindu Indonesia Denpasar
",55,55,42,Denpasar,Bali,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
